Metric,Value,Fold_Std,Bootstrap_Std
acc,0.6904761904761905,0.08784620886637344,0.0691501865458057
f1,0.6860264519838988,0.0871811937435585,0.07106555869633993
sens,0.5454545454545454,0.2857738033247041,0.10318724360778278
spec,0.85,0.3878143885933063,0.08542130278328938
auc,0.7818181818181819,0.13546217184144066,0.07224334605927728
