Model,Fold_Mean_AUC,Pooled_AUC,Fold_Mean_Acc,Pooled_Acc
Original NI CNN,0.7125,0.6090909090909091,0.5472222222222223,0.5476190476190477
Improved NI CNN,0.7575000000000001,0.7522727272727272,0.736111111111111,0.7380952380952381
