Method,Stimulus,Acc,AUC,F1,Sens,Spec
Dual CNN (Fusion),Both,0.7142857142857143,0.6295454545454545,0.7136363636363636,0.7272727272727273,0.7
Improved Chirp CNN,Chirp,0.6086956521739131,0.5387523629489603,0.6086956521739131,0.6086956521739131,0.6086956521739131
Improved NI CNN,NI,0.6666666666666666,0.625,0.6636155606407322,0.5454545454545454,0.8
Hand-crafted (SVM (RBF) No Age/Sex),Both,0.5318253968253968,0.655,0.5157287157287157,0.7083333333333333,0.51
Complexity (SVM (RBF) No Age/Sex),Both,0.5476190476190477,0.6183333333333334,0.3872816072816073,0.7666666666666666,0.19
