Fold,acc,f1,sens,auc,epoch
1,0.8888888888888888,0.8888888888888888,0.8,0.8500000000000001,17.0
2,0.5555555555555556,0.35714285714285715,1.0,0.5,39.0
3,0.625,0.6190476190476191,0.5,0.625,61.0
4,0.75,0.75,0.75,0.75,85.0
5,0.75,0.7333333333333334,0.5,0.5,61.0
Mean,0.7138888888888889,0.6696825396825397,0.71,0.645,52.6
Std,0.11506841765115541,0.17821262011782943,0.19078784028338913,0.13820274961085255,22.992172581119863
