Feature,Normality,Main_Test,Main_P,Significant_Comps,Mean_WT young,Mean_WT adult,Mean_5xFAD young,Mean_5xFAD adult
nAUC_all,Normal,One-way ANOVA,0.22755319199261048,,0.6828018027282968,0.5207659883543825,0.5573909158055996,0.5714333479489039
LRS_all,Normal,One-way ANOVA,0.5116335614684718,,0.009118415858138593,0.008467063515792256,0.006767709886004433,0.009822083924354056
nAUC_30,Normal,One-way ANOVA,0.3000623672166812,,0.6897642653562748,0.5412620826019913,0.552653168057446,0.581535165491421
LRS_30,Non-Normal,Kruskal-Wallis,0.6244114448175271,,0.004555941725738227,0.0027712507940527552,0.0030835894221493444,0.005412707217584569
nAUC_45,Normal,One-way ANOVA,0.21697620161792763,,0.7474092103214189,0.5821058883772673,0.6030388165115588,0.652845830773389
LRS_45,Normal,One-way ANOVA,0.6700296231720706,,0.003747878385090664,0.002898826842811122,0.003812611347081744,0.005338332291580784
