Metric,Value,Fold_Std,Bootstrap_Std
acc,0.6666666666666666,0.05529963731003411,0.07178879011020821
f1,0.6636155606407322,0.07858681907948044,0.07307871490729224
sens,0.5454545454545454,0.15275252316519466,0.10460426669470853
spec,0.8,0.3693237062523878,0.09190062399079867
auc,0.7363636363636363,0.10844865656664959,0.066211978696917
