Method,Acc,AUC,F1,Sens,Spec,Bootstrap_Acc_Std,Bootstrap_AUC_Std
NI CNN,0.6666666666666666,0.625,0.6636155606407322,0.5454545454545454,0.8,0.07166933628946438,0.08786184138599396
Hand-crafted (Log. Regression),0.6904761904761905,0.7818181818181819,0.6860264519838988,0.5454545454545454,0.85,0.07153157256076419,0.07467216773397553
Complexity (k-NN (k=5)),0.6666666666666666,0.7363636363636363,0.6636155606407322,0.5454545454545454,0.8,0.07327223413261384,0.06713678624099884
