Fold,acc,f1,sens,auc,epoch
1,1.0,1.0,1.0,1.0,9.0
2,0.5555555555555556,0.5,0.2,0.6000000000000001,6.0
3,0.375,0.36507936507936506,0.5,0.4375,25.0
4,0.875,0.873015873015873,1.0,0.9375,15.0
5,0.5,0.3333333333333333,0.0,0.75,1.0
Mean,0.6611111111111111,0.6142857142857143,0.54,0.745,11.2
Std,0.23645399938922687,0.27196178944034743,0.40792156108742283,0.20865641614865332,8.255906976220118
