Feature,Normality,Main_Test,Main_P,Significant_Comps,Mean_WT young,Mean_WT adult,Mean_5xFAD young,Mean_5xFAD adult
Signal_P2P,Non-Normal,Kruskal-Wallis,0.0036902204702655528,WT young vs WT adult (p=0.0019),2.4281208198759496,5.042077780039004,2.9814733876371635,3.7184267131811635
Signal_RMS,Normal,One-way ANOVA,0.004036636316436792,WT young vs WT adult (p=0.0034),0.2948344996996552,0.47763543801290065,0.3471890205420219,0.41029272653875104
Signal_Max,Non-Normal,Kruskal-Wallis,0.019756650280957046,WT young vs WT adult (p=0.0151),0.8080540132692065,1.376679323667848,1.0560629164944186,1.170789787159741
Signal_Min,Non-Normal,Kruskal-Wallis,0.005701062810785438,WT young vs WT adult (p=0.0046); WT adult vs 5xFAD young (p=0.0429),-1.620066806606743,-3.6653984563711557,-1.9254104711427447,-2.5476369260214224
Signal_Std,Normal,One-way ANOVA,0.004036636316436792,WT young vs WT adult (p=0.0034),0.2948344996996552,0.47763543801290065,0.3471890205420219,0.41029272653875104
Power_Total,Non-Normal,Kruskal-Wallis,0.06476333034261626,,0.044620717556172314,0.0853253815987221,0.0593713758139435,0.07215785726295663
Power_Low,Normal,One-way ANOVA,0.13118846047411356,,0.03956125554347825,0.0680385592885352,0.05328540757605366,0.06081289520675332
Power_Mid,Non-Normal,Kruskal-Wallis,0.6504983524770813,,0.0037519744458089995,0.01172261523059971,0.004541659175896678,0.004551686721128461
Power_High,Non-Normal,Kruskal-Wallis,0.4253221644175674,,0.0007854082026230454,0.0025987053321946557,0.0012007114208225777,0.002403013805487631
