Subject,y_true,y_prob
MR-0270,0,0.48137685656547546
MR-0273,0,0.42026054859161377
MR-0274,1,0.5029184818267822
MR-0275,1,0.4834177494049072
MR-0276,0,0.26261284947395325
MR-0278,1,0.5976112484931946
MR-0280-t1,1,0.5031193494796753
MR-0280-t2,1,0.5629947185516357
MR-0282,0,0.4842405617237091
MR-0283-t2,0,0.48701781034469604
MR-0284,0,0.38640332221984863
MR-0285-t1,1,0.7775480151176453
MR-0285-t2,1,0.6466441750526428
MR-0287,1,0.4217389225959778
MR-0288-t1,0,0.48969322443008423
MR-0288-t2,0,0.4617939591407776
MR-0289,0,0.40756773948669434
MR-0290,1,0.5387822985649109
MR-0291,1,0.4347492456436157
MR-0292-t1,1,0.5272706151008606
MR-0292-t2,1,0.4767910838127136
MR-0293,1,0.5522662997245789
MR-0296-t1,0,0.5429365634918213
MR-0296-t2,0,0.6010404825210571
MR-0298-t1,0,0.489907443523407
MR-0298-t2,0,0.483303964138031
MR-0299-t1,0,0.5347870588302612
MR-0300-t1,0,0.38464710116386414
MR-0300-t2,0,0.4711143970489502
MR-0301-t2,1,0.47966358065605164
MR-0302-t1,1,0.6813084483146667
MR-0302-t2,1,0.4875740110874176
MR-0303,0,0.813502311706543
MR-0304-t2,1,0.7603970766067505
MR-0305,1,0.551044225692749
MR-0306,0,0.4883846938610077
MR-0307-t2,1,0.4888835847377777
MR-0309,0,0.2124267965555191
MR-0310,1,0.5561535954475403
MR-0311,0,0.4940118193626404
MR-0312,1,0.7502464652061462
MR-0313,1,0.5690963864326477
