approach,pooled_auc,fold_mean_auc,fold_std_auc,bootstrap_auc_std,acc,sens,spec,fold1_auc,fold2_auc,fold3_auc,fold4_auc,fold5_auc
10-channel (current),0.6625874125874126,0.6947,0.1764,0.0779,0.5625,0.5385,0.5909,0.84,0.4,0.5833,0.8,0.85
Trial-level (chirp-like),0.5332167832167831,0.5829,0.1601,0.0858,0.5833,0.6923,0.4545,0.6667,0.5833,0.381,0.8333,0.45
