Feature,Normality,Main_Test,Main_P,Significant_Comps,Mean_WT young,Mean_WT adult,Mean_5xFAD young,Mean_5xFAD adult
nAUC_all,Normal,One-way ANOVA,0.09970826287007724,,0.2763025365211974,0.21001309070036864,0.27866481866801673,0.24609494064691603
LRS_all,Non-Normal,Kruskal-Wallis,0.03512275864131012,WT young vs 5xFAD adult (p=0.0272),0.00022516115173931538,-0.00097189737779762,-0.0005298340581779556,-0.0029135704032222285
nAUC_30,Normal,One-way ANOVA,0.037996702777002775,,0.26645642346494536,0.1997763952412914,0.2700199222290099,0.21811460268866717
LRS_30,Non-Normal,Kruskal-Wallis,0.1356733686324415,,-0.002477322611094924,-0.0016907931604466533,-0.005324767818291,-0.005004139405169015
nAUC_45,Non-Normal,Kruskal-Wallis,0.003801217918071853,WT young vs WT adult (p=0.0135),0.25870817391245615,0.1822940217956252,0.2500575198467309,0.19622966227997368
LRS_45,Non-Normal,Kruskal-Wallis,0.26027492903106275,,-0.0008518230021162145,-2.737746777894339e-05,-0.0008200144320272965,0.0006852884144636501
