segment,acc,bal_acc,f1,fold_mean_acc,fold_std_acc
full,0.44,0.41742424242424236,0.3803143093465674,0.44000000000000006,0.11401754250991379
flash,0.4,0.38777056277056277,0.34368191721132896,0.4,0.19999999999999998
frequency,0.42,0.39350649350649347,0.35230411110234355,0.42000000000000004,0.04472135954999579
amplitude,0.46938775510204084,0.4496753246753247,0.3903318903318903,0.47111111111111104,0.12136059929700577
amplitude_norm,0.42857142857142855,0.413961038961039,0.361901776384535,0.43111111111111117,0.14085278191373965
