Fold,acc,auc,f1,sens
1,0.5,0.56,0.45054945054945056,0.2
2,0.8888888888888888,1.0,0.8888888888888888,1.0
3,0.6666666666666666,0.7,0.6666666666666666,0.75
4,0.5555555555555556,0.5,0.55,0.6
5,0.4444444444444444,0.45,0.41558441558441556,0.6
