Group,N,Age_Months_Mean,Age_Months_Std,Flash_RMS_Mean,Flash_RMS_Std
5xFAD adult,14,6.891777736061573,0.5291154664700143,0.9296484733978413,0.28840157429559077
5xFAD young,9,2.460213169805811,0.28613102563412,0.6167357375507035,0.16417917850957067
WT adult,10,6.803547963206308,0.5289104634204752,0.9142952733956285,0.3703081508485457
WT young,13,2.529566360052563,0.5547594788213026,0.658066105139939,0.21300949930459473
