subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14
MR-0298-t2,0,1,0.8280402421951294,0.02681475691497326,0.22473274171352386,0.031409431248903275,0.058588284999132156,0.043654099106788635,0.04357103630900383,0.04262024536728859,0.03919006139039993,0.050481606274843216,0.04212139546871185,0.07577201724052429,0.04643630608916283,0.16768932342529297,0.06567028909921646,0.041248444467782974
MR-0298-t1,0,1,0.7472434639930725,0.0226520337164402,0.23958483338356018,0.026142604649066925,0.03385687991976738,0.030180782079696655,0.04194844141602516,0.06334587186574936,0.031199032440781593,0.032736100256443024,0.029106074944138527,0.08504683524370193,0.042180608958005905,0.24413703382015228,0.04714224487543106,0.030740654096007347
MR-0276,0,0,0.42853477597236633,0.013934028334915638,0.14387783408164978,0.02067035250365734,0.024884819984436035,0.028467221185564995,0.022254567593336105,0.057765375822782516,0.024488132447004318,0.024181906133890152,0.021721357479691505,0.056661009788513184,0.03147956728935242,0.463583379983902,0.04189370572566986,0.024136729538440704
MR-0294,0,1,0.7151709794998169,0.024408509954810143,0.2681838572025299,0.03523322567343712,0.03575222194194794,0.06029180437326431,0.05691037327051163,0.06678424775600433,0.0869312435388565,0.04472976177930832,0.03740505874156952,0.0717112123966217,0.06454745680093765,0.04067184031009674,0.06113313138484955,0.04530605673789978
MR-0288-t1,0,0,0.06440237909555435,0.01531283464282751,0.04242778569459915,0.008945063687860966,0.010163545608520508,0.00971553660929203,0.009116927161812782,0.00923314318060875,0.008048242889344692,0.010187049396336079,0.01039588451385498,0.030987301841378212,0.011982997879385948,0.8012368679046631,0.01168091781437397,0.01056582573801279
MR-0293,1,0,0.34584614634513855,0.013253486715257168,0.1371447592973709,0.018596863374114037,0.03610168769955635,0.020496800541877747,0.02662714384496212,0.029366767033934593,0.031791575253009796,0.03695595636963844,0.027572039514780045,0.06993932276964188,0.032924436032772064,0.45744794607162476,0.037238482385873795,0.024542704224586487
MR-0275,1,0,0.35092905163764954,0.024386323988437653,0.16373701393604279,0.01898757740855217,0.027480386197566986,0.020201735198497772,0.021752793341875076,0.02028145268559456,0.021548990160226822,0.020684875547885895,0.020909519866108894,0.05446859076619148,0.03280724957585335,0.49499577283859253,0.038191746920347214,0.01956608146429062
MR-0291,1,0,0.19375212490558624,0.0070254444144666195,0.11551103740930557,0.012957916595041752,0.01998092606663704,0.01614445075392723,0.02639699913561344,0.01785014383494854,0.014737619087100029,0.01891348697245121,0.022542066872119904,0.04155731946229935,0.021792810410261154,0.6275326013565063,0.02037917450070381,0.01667800359427929
MR-0285-t2,1,1,0.6599491238594055,0.017287809401750565,0.23570165038108826,0.02219191938638687,0.029750505462288857,0.027355751022696495,0.02738311141729355,0.029946360737085342,0.029264017939567566,0.029795918613672256,0.027827898040413857,0.04207780584692955,0.04368608817458153,0.3577488958835602,0.05104900896549225,0.028933247551321983
MR-0280-t1,1,0,0.22625648975372314,0.010617573745548725,0.2211015522480011,0.009552857838571072,0.014705905690789223,0.03655235096812248,0.027322206646203995,0.016362229362130165,0.017476821318268776,0.01402872335165739,0.013547634705901146,0.03926103934645653,0.016114553436636925,0.5286312103271484,0.02171003632247448,0.013015267439186573
