Case,Fold_Mean_Acc,Fold_Std_Acc,Fold_Mean_AUC,Pooled_AUC,Pooled_Acc
no_age,0.611111111111111,0.1756820922315766,0.642,0.5387523629489603,0.6086956521739131
binary_age,0.5844444444444445,0.10171371103418494,0.7140000000000001,0.5916824196597354,0.5869565217391305
continuous_age,0.5866666666666667,0.18230350490661051,0.7140000000000001,0.6483931947069943,0.5869565217391305
