Segment,Pooled_AUC,Pooled_Acc,Fold_Mean_AUC,Fold_Std_AUC,Fold_Mean_Acc,Fold_Std_Acc,T_prime
amplitude,0.5406427221172023,0.5434782608695652,0.718,0.17282939564784686,0.5444444444444444,0.17743021580745905,22
frequency,0.5387523629489603,0.5869565217391305,0.562,0.07395944834840233,0.5866666666666667,0.09242948596926853,32
flash,0.546313799621928,0.5652173913043478,0.612,0.10709808588392233,0.5666666666666667,0.09938079899999064,15
full,0.5311909262759924,0.5,0.5900000000000001,0.10839741694339397,0.5044444444444445,0.13868874468115489,68
