Subject,y_true,y_prob
MR-0270,0,0.9580799341201782
MR-0273,0,0.5485014081001282
MR-0274,1,0.45904320776462554
MR-0275,1,0.4385633200407028
MR-0276,0,0.6760563373565673
MR-0278,1,0.6066627264022827
MR-0280-t1,1,0.3935762297362089
MR-0280-t2,1,0.49137458503246306
MR-0282,0,0.49555005729198454
MR-0283-t2,0,0.45303607154637576
MR-0284,0,0.5418984085321427
MR-0285-t1,1,0.5635406315326691
MR-0285-t2,1,0.08970386001747102
MR-0287,1,0.5209980636835099
MR-0288-t1,0,0.0036795137100853028
MR-0288-t2,0,0.4986509084701538
MR-0289,0,0.4372268825769424
MR-0290,1,0.5712578594684601
MR-0291,1,0.3228119596838951
MR-0292-t1,1,0.6056356728076935
MR-0292-t2,1,0.4229133099317551
MR-0293,1,0.2739091538824141
MR-0294,0,0.43784654438495635
MR-0296-t1,0,0.5065388679504395
MR-0296-t2,0,0.5963367998600007
MR-0298-t1,0,0.2260867215692997
MR-0298-t2,0,0.26168144345283506
MR-0299-t1,0,0.2130161755718291
MR-0300-t1,0,0.5733106970787049
MR-0300-t2,0,0.4340916574001312
MR-0301-t2,1,0.4963323354721069
MR-0302-t1,1,0.9701234102249146
MR-0302-t2,1,0.9618739545345306
MR-0303,0,0.6329806029796601
MR-0304-t2,1,0.24664554213813972
MR-0305,1,0.8403260502964258
MR-0306,0,0.5127937167882919
MR-0307-t2,1,0.5629622578620911
MR-0309,0,0.48639458119869233
MR-0310,1,0.0027055830461904405
MR-0311,0,0.5156775623559952
MR-0312,1,0.6018081367015838
MR-0313,1,0.6203199863433838
MR-0447,1,0.5214955151081085
MR-0474,0,0.45630468130111695
MR-0491,0,0.4013869732618332
