Metric,Value,Fold_Std,Bootstrap_Mean,Bootstrap_Std
acc,0.6956521739130435,0.12813210597117,0.6905217391304348,0.06665198956269353
f1,0.6933333333333334,0.1356134485903219,0.6831276259765234,0.06781663968166954
sens,0.6086956521739131,0.3309246305597562,0.6018033174981479,0.09895011351649749
spec,0.782608695652174,0.22360679774997896,0.7769500849121339,0.09021774491633065
auc,0.7353497164461248,0.2556322471930892,0.7301366019112414,0.07589831655211399
