Metric,Value,Fold_Std,Bootstrap_Mean,Bootstrap_Std
acc,0.717391304347826,0.08968684768715895,0.7159565217391305,0.06667800628197525
f1,0.7172576832151301,0.045385446527223386,0.7114022389132754,0.06779651396464116
sens,0.7391304347826086,0.34916940641530614,0.7389153341051324,0.0945717746599285
spec,0.6956521739130435,0.348010216963685,0.6928184695445289,0.09832770028572604
auc,0.7334593572778828,0.20910889654016374,0.7316104304681642,0.07632206257368075
