Feature,Normality,Main_Test,Main_P,Significant_Comps,Mean_WT young,Mean_WT adult,Mean_5xFAD young,Mean_5xFAD adult
Flash_RMS,Normal,One-way ANOVA,0.010896350596923869,5xFAD young vs 5xFAD adult (p=0.0464),0.658066105139939,0.9142952733956285,0.6167357375507035,0.9296484733978413
ChirpFreq_RMS,Normal,One-way ANOVA,0.8245166392255597,,0.5400170178247657,0.5569338168390822,0.5083256935766577,0.5029860961980813
ChirpAmp_RMS,Non-Normal,Kruskal-Wallis,0.007381465976089021,5xFAD young vs 5xFAD adult (p=0.0210),0.4761147488834497,0.6133671883932895,0.4271931335137007,0.6497309732117762
ChirpAmp_Max,Normal,One-way ANOVA,0.0050820742900128104,WT young vs 5xFAD adult (p=0.0154); 5xFAD young vs 5xFAD adult (p=0.0109),1.1356171952702896,1.4017460101447303,1.0575517830026264,1.6388576063434581
Power_Total,Non-Normal,Kruskal-Wallis,0.026835550670582624,,0.25946678294099573,0.3486590015650402,0.22198447722588383,0.3275206944419603
Power_Low,Non-Normal,Kruskal-Wallis,0.0006265844938124126,WT adult vs 5xFAD young (p=0.0075); 5xFAD young vs 5xFAD adult (p=0.0069),0.16143159907164525,0.26800763618717727,0.12113288739677992,0.26718837344215807
Power_Mid,Non-Normal,Kruskal-Wallis,0.5818058649141531,,0.06316050521947053,0.05379278626916495,0.06137351928718236,0.03748187265535797
Power_High,Non-Normal,Kruskal-Wallis,0.1768149492852435,,0.03247523554333382,0.02326399604541293,0.036996344146196354,0.019301714655587488
