Segment,Fold_Mean_Acc,Fold_Std_Acc,Fold_Mean_AUC,Pooled_AUC,Pooled_Acc
full,0.5422222222222223,0.12531441937663718,0.648,0.551984877126654,0.5434782608695652
flash,0.6533333333333333,0.17819395730426182,0.6439999999999999,0.5671077504725899,0.6521739130434783
frequency,0.5444444444444445,0.1383322177554304,0.636,0.5311909262759924,0.5434782608695652
amplitude,0.611111111111111,0.1756820922315766,0.642,0.5387523629489603,0.6086956521739131
amplitude_norm,0.5666666666666667,0.09938079899999064,0.672,0.6068052930056711,0.5652173913043478
