subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14,attn_pos_15,attn_pos_16,attn_pos_17,attn_pos_18,attn_pos_19,attn_pos_20,attn_pos_21,attn_pos_22,attn_pos_23,attn_pos_24,attn_pos_25,attn_pos_26,attn_pos_27,attn_pos_28,attn_pos_29,attn_pos_30,attn_pos_31
MR-0298-t2,0,1,0.9869972467422485,3.370509512024e-05,5.018458250560798e-05,7.059189374558628e-05,0.0018732018070295453,0.9967823028564453,0.00036533590173348784,4.00974640797358e-05,5.646817953675054e-05,2.858607876987662e-05,2.0940187823725864e-05,2.5355129764648154e-05,2.6193038138444535e-05,4.802966213901527e-05,6.17664263700135e-05,2.763458905974403e-05,3.000799370056484e-05,2.841980312950909e-05,2.76482187473448e-05,2.8636446586460806e-05,2.5849394660326652e-05,2.8002421458950266e-05,3.053414184250869e-05,3.0453149520326406e-05,3.0433900974458084e-05,2.998999843839556e-05,2.962297003250569e-05,3.0007879104232416e-05,2.7627660529105924e-05,2.5214018023689277e-05,2.9095535865053535e-05,3.0339142540469766e-05,2.7675045203068294e-05
MR-0298-t1,0,0,0.0022131807636469603,7.65937365940772e-05,8.694550342625007e-05,0.00010614746861392632,0.00018051505321636796,0.0037207291461527348,9.659759234637022e-05,0.00010685182496672496,0.00025798374554142356,0.0003651832230389118,0.0010971876326948404,0.000278715044260025,0.03159544989466667,0.9372513890266418,0.014606090262532234,0.0006149070686660707,0.00011652994726318866,6.442051380872726e-05,0.00032304986962117255,0.0003188862174283713,0.0002978146367240697,0.00022654165513813496,0.000566087372135371,0.0016632769256830215,0.0026490669697523117,0.0020534859504550695,0.0006871435325592756,0.00020279581076465547,7.575916970381513e-05,0.0001252334041055292,4.130890010856092e-05,6.560637848451734e-05,8.160066499840468e-05
MR-0276,0,1,0.9194331169128418,0.005589403212070465,0.006249190773814917,0.00875384546816349,0.013674352318048477,0.46827432513237,0.005928363185375929,0.005474066827446222,0.003864423604682088,0.003409292781725526,0.00794941931962967,0.021734144538640976,0.09223635494709015,0.11518499255180359,0.07866135984659195,0.01733078435063362,0.014608124271035194,0.006889582145959139,0.015702184289693832,0.0052994126453995705,0.006476414389908314,0.005068276077508926,0.006058454047888517,0.01664012297987938,0.018416689708828926,0.01946358196437359,0.007494981866329908,0.004479504190385342,0.0032126381993293762,0.003413878846913576,0.004089797846972942,0.004198177717626095,0.004173827823251486
MR-0294,0,1,0.9624627828598022,0.0007712680962868035,0.0017723507480695844,0.0014016544446349144,0.053964849561452866,0.9287500381469727,0.0022940081544220448,0.0005036760703660548,0.0003446994523983449,0.0005563021404668689,0.00042844569543376565,0.0007875274168327451,0.00047796868602745235,0.00035471783485263586,0.0005124121089465916,0.0002773446321953088,0.0004826460499316454,0.0003911818494088948,0.00036932373768649995,0.00028819151339121163,0.00039238735917024314,0.0006099359598010778,0.00037005406920798123,0.0003895364061463624,0.0003794986114371568,0.0004226476594340056,0.000357857410563156,0.0003537063021212816,0.00040988432010635734,0.0004279634158592671,0.00038680442958138883,0.0004003270878456533,0.00037081976188346744
MR-0288-t1,0,0,0.0011479933746159077,5.286856321617961e-06,5.6376320571871474e-06,6.19577695033513e-05,3.9119717257563025e-05,0.9996299743652344,5.901832992094569e-05,4.226825330988504e-05,8.261453331215307e-06,4.9779359869717155e-06,8.95026732905535e-06,1.089604393200716e-05,9.081257303478196e-06,6.878460681036813e-06,7.481773536710534e-06,5.3066123655298725e-06,4.863540652877418e-06,4.4475318645709194e-06,4.359350896265823e-06,4.49361914434121e-06,5.196122401684988e-06,5.755555775976973e-06,6.792258773202775e-06,8.279759640572593e-06,6.540210961247794e-06,6.009223397995811e-06,5.4040297072788235e-06,5.344795681594405e-06,5.4722845561627764e-06,5.5585987865924835e-06,5.383664756664075e-06,5.6802882681949995e-06,5.433594196802005e-06
MR-0293,1,1,0.9062007665634155,0.000206548604182899,0.00020801060600206256,0.0004320013686083257,0.006284941919147968,0.9824228286743164,0.0005584651953540742,0.0008382483501918614,0.00016633454652037472,0.000214632207644172,0.0005753361620008945,0.0017860329244285822,0.00027066050097346306,0.001996596110984683,0.0010851076804101467,0.00011945157893933356,0.00012138498277636245,0.0001679031120147556,0.00016630107711534947,0.00022291988716460764,0.0001603214186616242,0.00015822667046450078,0.00016937644977588207,0.00017348556139040738,0.0001766452769516036,0.00018675722822081298,0.00014636226114816964,0.00016805835184641182,0.0001855608425103128,0.00012938071449752897,0.00017381097131874412,0.00015758347581140697,0.00017064336861949414
MR-0275,1,1,0.9745340943336487,0.00022980489302426577,0.0001224317675223574,0.0002279669715790078,0.00025778490817174315,0.9967883825302124,0.00038653172669000924,6.145556108094752e-05,6.829916674178094e-05,9.087967919185758e-05,0.00011061146506108344,0.00022402808826882392,0.00018626733799465,0.0001229966728715226,9.854994277702644e-05,9.128131932811812e-05,5.442060501081869e-05,6.120721809566021e-05,4.968647408531979e-05,5.376638000598177e-05,5.99511040491052e-05,6.465546903200448e-05,5.367308767745271e-05,6.26794426352717e-05,6.66467531118542e-05,5.957159009994939e-05,4.5557189878309146e-05,5.5130458349594846e-05,5.568958295043558e-05,4.2024519643746316e-05,4.783148324349895e-05,4.037032704218291e-05,5.9879341279156506e-05
MR-0291,1,1,0.8954111337661743,0.00025104571250267327,0.00022134876053314656,0.0007122386596165597,0.006647876929491758,0.9817929863929749,0.002379662124440074,0.0013773958198726177,0.00046284153359010816,0.00023736229923088104,0.0005750846466980875,0.0004253608058206737,0.00021734091569669545,0.0005847567808814347,0.0006071730167604983,0.0002673805574886501,0.00014872688916511834,0.0001717128761811182,0.00018230466230306774,0.00026620784774422646,0.0001870193227659911,0.00018136131984647363,0.0001673403603490442,0.00018439239647705108,0.00018955818086396903,0.0001766669302014634,0.00019290848285891116,0.00018832551722880453,0.00019893755961675197,0.00020042616233695298,0.00018923846073448658,0.00020232702081557363,0.00021262982045300305
MR-0285-t2,1,1,0.9752190709114075,0.0001176711157313548,0.00017037912039086223,0.00010000904148910195,0.0004289638018235564,0.9945523142814636,0.0030392787884920835,5.362581941881217e-05,3.146417293464765e-05,8.240598253905773e-05,6.960356404306367e-05,0.00017388375999871641,0.00011279869795544073,7.977210771059617e-05,6.010333527228795e-05,5.328751285560429e-05,4.900903513771482e-05,4.791060564457439e-05,5.2872172091156244e-05,5.6946006225189194e-05,4.895998790743761e-05,5.8304947742726654e-05,7.320586882997304e-05,4.319743675296195e-05,5.6821667385520414e-05,4.746640843222849e-05,4.4630683987634256e-05,4.566014467854984e-05,4.592151162796654e-05,5.467212395160459e-05,3.412414662307128e-05,6.279708031797782e-05,5.1990697102155536e-05
MR-0280-t1,1,1,0.8505579233169556,0.0014732404379174113,0.0003840713470708579,0.0005268578534014523,0.0008982844301499426,0.9650550484657288,0.011422785930335522,0.0018197072204202414,0.0009533696575090289,0.00040072956471703947,0.001123754307627678,0.0008921116241253912,0.001672774669714272,0.0008945042500272393,0.0014727411326020956,0.00043053284753113985,0.0007715739193372428,0.0004167341685388237,0.0007800490711815655,0.0004479682247620076,0.0004347182984929532,0.000752896536141634,0.0005335328751243651,0.00038218015106394887,0.0006002995651215315,0.0004058101330883801,0.001440018997527659,0.0006242516683414578,0.0009694068576209247,0.0004149754822719842,0.0004925393150188029,0.0005060964031144977,0.0006066338391974568
