approach,pooled_auc,fold_mean_auc,fold_std_auc,bootstrap_auc_std,acc,sens,spec,fold1_auc,fold2_auc,fold3_auc,fold4_auc,fold5_auc
Trial-level (current),0.5463137996219282,0.7472,0.2226,0.0874,0.4783,0.3478,0.6087,0.375,0.6667,0.9444,1.0,0.75
Rep-stacked (NI-like),0.5141776937618148,0.64,0.1241,0.087,0.4783,0.3913,0.5652,0.4,0.75,0.65,0.7,0.7
