Subject,nAUC_15,nAUC_30,nAUC_45,nAUC_all,LRS_15,LRS_30,LRS_45,LRS_all
MR-0270,0.3070071250458676,0.5050823984039444,0.5755087869833438,0.48542229145592697,0.02797740165063277,0.0014532696515398005,0.006943836949129779,0.009988603774787169
MR-0273,0.3031839143020082,0.5643623272820208,0.6546650661510064,0.5337427857346049,0.03133222993838363,0.01203302043376912,0.0006751867526898432,0.012906725348415027
MR-0274,0.7967842086493048,0.7424420771692971,0.6662988141436159,0.7713050820350661,0.040912969772541864,-0.012958619118862024,-0.003048773511618432,-0.0026639355864011296
MR-0275,0.15744368023119734,0.2600803106547724,0.3125329743710664,0.2555229743641702,0.0139387642045102,0.004689798841773347,0.002557338159914092,0.005760068172582187
MR-0276,0.32775826950454273,0.5469972504362381,0.6483799775303153,0.5333658531136676,0.029378768147590086,0.008500728875212046,0.00827216505881845,0.012021505384928587
MR-0278,0.37441047424360485,0.5446429229761662,0.6107855069524369,0.5361581224751155,0.029433231025434537,0.003707211860910077,0.006806669884698309,0.009104620137447192
MR-0280-t1,0.6001846825046424,0.9243283042605649,1.0246299038082807,0.892036268331471,0.049721154253033056,0.010951638850310245,0.014343768177734787,0.016548947862705842
MR-0280-t2,0.3221533541534123,0.5084182863985869,0.5535092806764438,0.48464391027254367,0.027049299416141554,0.006228826494178033,0.003247313399355143,0.00882116796868524
MR-0282,0.18993422676464697,0.34744415317338806,0.4173258554405882,0.3341752002559736,0.01847482518647209,0.005396131579697801,0.004530036670618046,0.008346854611846918
MR-0283-t2,0.4157051057500368,0.44771200473635087,0.37228583094694295,0.43293318202079656,0.026010926141666807,-0.005289132449336901,-0.006716071778837556,-0.0005846757172300188
MR-0284,0.7039955053248572,0.9861762440511036,0.9583969294805336,0.9307190923626533,0.057381275289617194,-0.0031640404939186594,0.0008039215496113301,0.010357447054513535
MR-0285-t1,0.42282936680818833,0.6933554756335013,0.7649408581787459,0.6600080617686811,0.03914629939708705,0.005364665193344947,0.001893073813537428,0.012697740614669016
